Snapshot Date,Tank,Current (L),Current %,Avg Daily Usage (L),Forecast EOW (L),Forecast EOW %,Days Until Empty,EOW Date
30/07/2026,Fuelfix 11751 Tank 1,86128,78.0,13692,45052,41.0,6.3,02/08/2026
30/07/2026,Fuelfix 11751 Tank 2,88173,80.0,9451,59820,54.4,9.3,02/08/2026
